Column1;Column2;Column3
SW[1.000000] HW[1.100000] Date[1970-01-01 00:00:00];;
Timestamp; FSR1; FSR2
8895;1646;4
8898;1519;3
8902;1431;3
8905;1291;2
8909;1193;2
8913;1082;3
8916;1037;2
8920;1032;2
8923;1021;2
8927;1020;2
8930;1007;2
8934;1005;2
8937;1003;3
8941;1002;3
8945;1000;3
8948;991;3
8952;999;3
8955;991;2
8959;989;3
8962;988;4
8966;987;2
8970;987;2
8973;986;4
8977;985;1
8980;984;3
8984;984;2
8987;984;2
8991;982;3
8994;975;3
8998;975;3
9002;974;4
9005;973;1
9009;973;3
9012;972;3
9016;972;2
9019;970;2
9023;971;4
9026;972;2
9030;970;4
9034;969;2
9037;969;4
9041;971;4
9044;969;3
9048;969;3
9051;968;2
9055;968;3
9058;967;4
9062;960;3
9066;967;2
9069;959;3
9073;958;3
9076;958;4
9080;959;4
9083;959;2
9087;959;3
9091;957;3
9094;957;3
9098;958;4
9101;957;3
9105;957;4
9108;955;4
9112;956;3
9115;955;3
9119;954;3
9123;955;4
9126;955;2
9130;955;2
9133;955;3
9137;953;3
9140;952;2
9144;954;3
9147;954;2
9151;953;2
9155;952;2
9158;952;2
9162;952;4
9165;952;3
9169;950;4
9172;944;1
9176;952;3
9179;944;3
9183;951;3
9187;952;2
9190;943;4
9194;951;2
9197;951;3
9201;943;4
9204;942;3
9208;941;4
9212;942;3
9215;942;3
9219;942;1
9222;941;2
9226;942;2
9229;941;3
9233;941;4
9236;940;2
9240;940;3
9244;941;4
9247;942;4
9251;940;2
9254;941;3
9258;940;2
9261;939;2
9265;940;3
9268;939;2
9272;940;4
9276;940;4
9279;939;3
9283;939;3
9286;938;3
9290;938;2
9293;938;3
9297;938;2
9300;937;3
9304;938;3
9308;938;4
9311;937;3
9315;936;2
9318;936;3
9322;937;3
9325;937;2
9329;937;3
9332;936;2
9336;935;1
9340;937;2
9343;927;4
9347;936;4
9350;936;3
9354;935;2
9357;928;3
9361;936;3
9365;935;3
9368;936;4
9372;937;2
9375;935;2
9379;926;2
9382;935;4
9386;927;3
9389;926;4
9393;927;5
9397;927;3
9400;927;3
9404;926;3
9407;927;2
9411;927;2
9414;927;3
9418;926;3
9421;926;4
9425;925;5
9429;926;2
9432;926;2
9436;927;2
9439;925;3
9443;926;2
9446;926;3
9450;925;4
9453;926;2
9457;926;1
9461;925;3
9464;925;4
9468;924;3
9471;925;3
9475;925;3
9478;924;3
9482;926;2
9486;925;3
9489;925;3
9493;925;4
9496;925;2
9500;925;1
9503;926;3
9507;924;2
9510;924;3
9514;925;3
9518;924;3
9521;925;4
9525;924;2
9528;923;1
9532;924;2
9535;924;3
9539;923;2
9542;925;6
9546;922;8
9550;923;17
9553;911;24
9557;907;62
9560;861;222
9564;863;621
9567;892;1279
9571;920;1819
9574;936;2141
9578;943;2364
9582;954;2526
9585;956;2670
9589;960;2792
9592;968;2877
9596;969;2967
9599;970;3051
9603;971;3118
9607;973;3194
9610;975;3262
9614;975;3336
9617;986;3406
9621;987;3470
9624;990;3533
9628;989;3580
9631;990;3625
9635;990;3658
9639;991;3691
9642;992;3719
9646;992;3744
9649;990;3775
9653;999;3792
9656;1002;3808
9660;1004;3833
9663;1006;3848
9667;1015;3866
9671;1019;3882
9674;1020;3897
9678;1024;3904
9681;1034;3926
9685;1036;3932
9688;1038;3945
9692;1040;3950
9695;1050;3961
9699;1050;3966
9703;1053;3976
9706;1055;3978
9710;1066;3980
9713;1068;3983
9717;1080;3996
9720;1081;4008
9724;1084;4010
9728;1086;4014
9731;1087;4026
9735;1097;4030
9738;1100;4041
9742;1104;4043
9745;1104;4046
9749;1114;4054
9752;1115;4057
9756;1119;4061
9760;1128;4061
9763;1180;4072
9767;1272;4073
9771;1354;4075
9774;1423;4076
9778;1501;4079
9782;1610;4079
9785;1674;4087
9789;1738;4080
9793;1784;4077
9796;1821;4076
9800;1871;4075
9803;1918;4075
9807;1991;4075
9811;2047;4072
9814;2105;4063
9818;2139;4059
9822;2205;4056
9825;2237;4045
9829;2286;4043
9833;2315;4039
9836;2350;4026
9840;2393;4014
9844;2442;4008
9847;2492;3993
9851;2523;3982
9854;2570;3975
9858;2605;3963
9862;2647;3948
9865;2680;3932
9869;2715;3920
9873;2745;3911
9876;2776;3895
9880;2810;3880
9884;2856;3866
9887;2878;3848
9891;2908;3822
9895;2936;3804
9898;2952;3786
9902;2975;3759
9906;3000;3751
9909;3019;3726
9913;3048;3695
9916;3069;3678
9920;3088;3647
9924;3115;3625
9927;3134;3598
9931;3162;3578
9935;3191;3545
9938;3211;3517
9942;3229;3484
9946;3244;3464
9949;3262;3437
9953;3274;3407
9957;3291;3386
9960;3305;3359
9964;3324;3338
9968;3326;3305
9971;3350;3274
9975;3367;3242
9978;3375;3210
9982;3390;3182
9986;3404;3162
9989;3408;3133
9993;3432;3102
9997;3439;3072
