Column1;Column2;Column3
9107;4095;2
9111;4095;3
9114;4095;2
9118;4095;4
9122;4095;3
9125;4095;4
9129;4095;2
9132;4095;3
9136;4095;4
9139;4095;2
9143;4095;1
9146;4095;3
9150;4095;1
9154;4095;1
9157;4095;1
9161;4095;2
9164;4095;2
9168;4095;2
9171;4095;1
9175;4095;3
9178;4095;2
9182;4095;1
9186;4095;0
9189;4095;2
9193;4095;3
9196;4095;1
9200;4095;2
9203;4095;0
9207;4095;0
9211;4095;1
9214;4095;2
9218;4095;2
9221;4095;2
9225;4095;2
9228;4095;1
9232;4095;1
9235;4095;2
9239;4095;3
9243;4095;2
9246;4095;2
9250;4095;1
9253;4095;1
9257;4095;2
9260;4095;1
9264;4095;1
9267;4095;1
9271;4095;1
9275;4095;1
9278;4095;2
9282;4095;3
9285;4095;1
9289;4095;2
9292;4095;2
9296;4095;2
9299;4095;2
9303;4095;1
9307;4095;3
9310;4095;2
9314;4095;3
9317;4095;2
9321;4095;0
9324;4095;3
9328;4095;1
9332;4095;1
9335;4095;2
9339;4095;2
9342;4092;0
9346;4057;2
9349;4014;2
9353;3967;2
9356;3926;2
9360;3867;2
9364;3805;1
9367;3726;2
9371;3661;1
9374;3611;2
9378;3565;2
9381;3497;1
9385;3433;2
9388;3367;1
9392;3261;0
9396;3160;2
9399;2990;2
9403;2844;2
9406;2587;1
9410;2248;2
9413;1866;2
9417;1406;1
9420;1087;2
9424;938;3
9428;926;1
9431;920;2
9435;918;3
9438;907;3
9442;906;5
9445;903;6
9449;893;5
9453;892;5
9456;890;2
9460;889;2
9463;879;1
9467;878;1
9470;879;2
9474;878;1
9477;877;2
9481;876;2
9485;875;4
9488;872;3
9492;873;2
9495;872;2
9499;872;3
9502;871;2
9506;861;0
9509;863;2
9513;861;3
9517;860;2
9520;860;3
9524;860;3
9527;858;2
9531;860;2
9534;859;1
9538;860;1
9541;858;2
9545;861;2
9549;860;2
9552;860;2
9556;859;2
9559;861;1
9563;860;0
9566;861;2
9570;860;3
9573;861;1
9577;861;2
9581;861;1
9584;860;1
9588;862;2
9591;861;2
9595;862;2
9598;861;2
9602;862;4
9606;861;2
9609;861;2
9613;860;2
9616;862;1
9620;861;2
9623;863;2
9627;862;2
9630;864;1
9634;871;3
9638;871;2
9641;872;1
9645;872;2
9648;872;2
9652;873;2
9655;874;2
9659;874;1
9662;874;1
9666;874;2
9670;877;3
9673;876;1
9677;877;2
9680;875;1
9684;879;3
9687;879;2
9691;888;2
9694;889;2
9698;888;2
9702;889;1
9705;890;1
9709;888;1
9712;890;1
9716;890;2
9719;889;1
9723;891;2
9727;890;2
9730;890;2
9734;890;1
9737;889;2
9741;890;2
9744;889;2
9748;890;1
9751;889;1
9755;890;0
9759;890;1
9762;890;1
9766;890;1
9770;890;1
9773;889;2
9777;889;2
9781;890;1
9784;891;2
9788;891;2
9792;892;3
9795;892;1
9799;891;2
9802;891;1
9806;893;2
9810;904;0
9813;936;1
9817;957;1
9821;971;2
9824;1003;2
9828;1017;1
9832;1040;0
9835;1070;2
9839;1084;1
9843;1100;2
9846;1136;1
9850;1167;1
9854;1195;1
9857;1260;2
9861;1289;2
9864;1295;0
9868;1055;2
9872;1511;0
9875;1750;1
9879;1915;1
9883;2296;1
9886;2600;1
9890;2889;2
9894;3143;1
9897;3276;2
9901;3434;1
9905;3595;1
9908;3737;2
9912;3831;2
9915;3928;1
9919;3998;2
9923;4058;2
9926;4095;1
9930;4095;3
9934;4095;1
9937;4095;1
9941;4095;3
9945;4095;2
9948;4095;2
9952;4095;2
9956;4095;2
9959;4095;3
9963;4095;2
9967;4095;0
9970;4095;1
9974;4095;3
9977;4095;3
9981;4095;5
9985;4095;17
9988;4095;31
9992;4095;80
9996;4095;192
9999;4095;270
10003;4095;327
10007;4095;352
10010;4095;376
10014;4095;392
10018;4095;398
10021;4095;411
10025;4095;413
10028;4095;415
10032;4095;415
10036;4095;415
10039;4095;412
10043;4095;410
10047;4095;408
10050;4095;398
10054;4095;398
10058;4095;393
10061;4095;383
10065;4095;375
10069;4095;362
10072;4095;346
10076;4095;320
10080;4095;298
10083;4095;268
10087;4095;231
10090;4095;185
10094;4095;125
10098;4095;93
10101;4095;60
10105;4095;44
10109;4095;31
10112;4095;28
10116;4095;28
10120;4095;26
10123;4095;23
10127;4095;24
10131;4095;24
10134;4095;23
10138;4095;25
10141;4095;22
10145;4095;20
10149;4095;22
10152;4095;21
10156;4095;19
10160;4095;19
10163;4095;18
10167;4095;18
10171;4095;18
10174;4095;7
10178;4095;8
10182;4095;9
10185;4095;8
10189;4095;8
10193;4095;16
10196;4095;10
